session_code,participant_code,market_uuid,trader_uuid,gamified,treatment,trading_day,payoff,initial_cash,initial_shares,dividend_per_share,forecast,forecast_confidence,current_cash,num_shares,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,hedonic,price_notifications,repetition,n_buys,n_sells,net_position,n_limit_orders,n_cancels,directionality,churn,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,rad,ret_next,fundamental_gap,surge,crash,normalized_mispricing,bubble_period,bubble_start,shares,cash,wealth_day,rel_wealth,next_avg_price,forecast_err_price,forecast_err_fund,forecast_bias_fund,gini,feedback_flag,speculator_flag,fundamental_flag,other_flag,market_maker_flag,trader_type,gross,session_id,group_label
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,1,7871.0,3800.0,10.0,8.0,,,3791.0,11.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,2.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666667,8.0,5.75,-114.25,114.25,4.0,7.0,8.0,3.0,120,,,6.5,,0.9520833333333333,1.78515625,0.48550781578170077,-1.8125,0,0,-0.9520833333333333,0,0,11.0,3879.0,5111.0,111.0,5.4375,,,,0.021655555555555556,0.0,0.0,1.0,0.0,1.0,market_maker,3.0,20280904,20280904/ghp1
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,2,7871.0,3800.0,10.0,8.0,,,3879.0,11.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,2.0,2.0,0.0,3.0,0.0,0.0,1.0,8.0,5.4375,-106.5625,106.5625,6.5,4.0,6.5,4.0,112,4.0,,6.5,0.625,0.9514508928571429,1.6650390625,0.0,-1.6484375,0,0,-0.9514508928571429,0,0,11.0,3967.0,5111.0,111.0,6.875,,,,0.028533333333333334,0.0,0.0,1.0,0.0,1.0,market_maker,4.0,20280904,20280904/ghp1
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,3,7871.0,3800.0,10.0,20.0,0.0,0.0,3946.5,15.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,3.0,0.0,3.0,1.0,0.0,1.0,0.0,8.0,6.875,-97.125,97.125,6.5,7.0,7.0,6.5,104,6.5,4.0,7.25,0.0,0.9338942307692307,1.517578125,0.109199291964992,-1.5234375,0,0,-0.9338942307692307,0,0,14.0,4226.5,5570.5,390.5,7.125,0.111328125,1.5,-1.5,0.04258901758901759,0.0,0.0,1.0,0.0,1.0,market_maker,3.0,20280904,20280904/ghp1
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,4,7871.0,3800.0,10.0,20.0,,,4225.25,19.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,3.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,7.125,-88.875,88.875,7.25,7.0,7.25,7.0,96,6.5,6.5,6.5,0.11538461538461542,0.92578125,1.388671875,-0.109199291964992,-1.38671875,0,0,-0.92578125,0,0,17.0,4545.25,6041.25,681.25,6.563,,,,0.061769278606965176,0.0,0.0,1.0,0.0,1.0,market_maker,3.0,20280904,20280904/ghp1
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,5,7871.0,3800.0,10.0,4.0,,,4592.05,22.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,3.0,1.0,2.0,5.0,0.0,0.5,0.5,10.0,6.563,-81.437,81.437,6.5,6.5,6.79,6.5,88,7.25,6.5,6.61,-0.10344827586206895,0.9254204545454545,1.272453125,0.016781476962003605,-1.2734375,0,0,-0.9254204545454545,0,0,19.0,4608.05,6128.05,828.0500000000002,6.4725,,,,0.058903983228511536,0.0,0.0,1.0,0.0,1.0,market_maker,4.0,20280904,20280904/ghp1
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,6,7871.0,3800.0,10.0,20.0,7.0,5.0,4654.13,23.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,4.0,0.0,4.0,2.0,0.0,1.0,0.0,8.0,6.4725,-73.5275,73.5275,6.61,6.25,6.61,6.25,80,6.5,7.25,6.6,0.01692307692307704,0.91909375,1.1488671875,-0.001514004831215221,-1.14671875,0,0,-0.91909375,0,0,23.0,5042.13,6698.13,1218.13,6.55875,0.006894531250000002,1.015625,-1.015625,0.06824959448499596,0.0,0.0,1.0,0.0,1.0,market_maker,4.0,20280904,20280904/ghp1
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,7,7871.0,3800.0,10.0,4.0,,,5101.48,28.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,3.0,1.0,2.0,4.0,0.0,0.5,0.5,8.0,6.55875,-65.44125,65.44125,6.6,6.3,6.75,6.3,72,6.61,6.5,6.68,-0.001512859304084846,0.9089062499999999,1.02251953125,0.012048338516174484,-1.021875,0,0,-0.9089062499999999,0,0,25.0,5129.48,6729.48,1309.4799999999996,6.5875,,,,0.06522222222222222,0.0,0.0,1.0,0.0,1.0,market_maker,4.0,20280904,20280904/ghp1
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,8,7871.0,3800.0,10.0,20.0,,,5193.369999999999,31.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,3.0,0.0,3.0,5.0,0.0,1.0,0.0,8.0,6.5875,-57.4125,57.4125,6.68,6.4,6.75,6.4,64,6.6,6.61,6.59,0.0121212121212122,0.8970703125,0.8970703125,-0.013564639034138404,-0.895625,0,0,-0.8970703125,0,0,28.0,5669.37,7237.37,1637.37,6.593529411764706,,,,0.08236369047619047,0.0,0.0,1.0,0.0,1.0,market_maker,3.0,20280904,20280904/ghp1
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,9,7871.0,3800.0,10.0,0.0,7.0,4.0,5793.859999999999,34.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,6.0,3.0,3.0,7.0,0.0,0.3333333333333333,0.6666666666666667,17.0,6.593529411764706,-49.406470588235294,49.406470588235294,6.59,6.71,6.71,6.5,56,6.68,6.6,6.51,-0.013473053892215536,0.8822584033613445,0.7719761029411765,-0.012213892293937878,-0.77203125,0,0,-0.8822584033613445,0,0,31.0,5649.86,7137.86,1657.8599999999997,6.535833333333333,0.007252604166666676,0.640625,-0.640625,0.08123519870235198,0.0,0.0,1.0,0.0,1.0,market_maker,9.0,20280904,20280904/ghp1
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,10,7871.0,3800.0,10.0,8.0,,,5767.739999999998,39.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,4.0,0.0,4.0,4.0,0.0,1.0,0.0,12.0,6.535833333333333,-41.464166666666664,41.464166666666664,6.51,6.56,6.58,6.49,48,6.59,6.68,6.54,-0.012139605462822445,0.8638368055555555,0.6478776041666666,0.004597709248629345,-0.64828125,0,0,-0.8638368055555556,0,0,35.0,5903.74,7303.74,1823.7399999999998,6.5375,,,,0.09090592051905921,0.0,0.0,1.0,0.0,1.0,market_maker,4.0,20280904,20280904/ghp1
h04ar64h,y51mizer,0596faff-8414-4cd3-a91c-e9efce969037,27c5cf8d-18ea-4b55-938f-ac739bdbf0c6,1,ghp,11,7871.0,3800.0,10.0,8.0,,,6047.119999999998,43.0,7721.0,0.5833333333333334,7.0,0.11666666666666659,3,0,35.0,0.0,0.0,1,1,1,1,6.0,1.0,5.0,5.0,0.0,0.7142857142857143,0.2857142857142857,16.0,6.5375,-33.4625,33.4625,6.54,6.48,6.58,6.48,40,6.51,6.59,6.53,0.004608294930875667,0.8365625,0.5228515625,-0.001530222180767593,-0.5228125,0,0,-0.8365625,0,0,40.0,6191.12,7471.12,1991.12,6.5311111111111115,,,,0.09531822789943228,0.0,0.0,1.0,0.0,1.0,market_maker,7.0,20280904,20280904/ghp1
